;SKU;Faturamento
509;8.06.53.14.10;6098.4
510;8.07.03.20.47;6079.92
511;24.11.159.39.00;6050.67
512;24.56.66.38.00;6014.799999999999
513;8.01.39.09.18;5996.26
514;8.06.04.08.10;5981.92
515;24.57.66.709.00;5980.87
516;8.09.04.71.68;5966.700000000001
517;8.09.23.50.27;5957.6
518;24.50.66.212.05;5930.88
519;8.09.01.103.27;5918.8
520;24.50.66.769.05;5910.96
521;8.06.39.27.10;5873.8
522;8.12.01.10.06;5822.3
523;8.09.04.102.10;5814.14
524;24.57.159.08.04;5749.85
525;8.06.01.06.18;5742.65
526;8.06.103.03.57;5737.24
527;8.04.23.13.07;5719.9
528;24.54.66.05.00;5711.01
529;21.14.50.1053.00;5707.65
530;21.14.46.97.06;5687.110000000001
531;24.55.66.15.00;5684.3
532;6.28.60.07.110;5677.0
533;8.60.171.07.16;5663.35
534;8.08.01.25.27;5642.61
535;21.14.46.448.01;5611.799999999999
536;8.09.76.09.11;5490.0
537;24.11.159.91.00;5463.72
538;24.11.175.152.57;5439.1
539;8.12.01.14.01;5435.21
540;8.13.33.10.69;5415.49
541;21.14.50.465.00;5409.86
542;8.09.02.117.01;5399.1
543;8.30.53.54.00;5393.47
544;8.09.01.96.35;5380.8
545;8.09.02.72.01;5363.08
546;8.06.04.05.57;5354.32
547;8.09.04.68.07;5336.96
548;21.14.175.34.06;5326.0
549;24.50.66.758.00;5324.59
550;6.28.60.09.114;5318.0
551;8.06.01.08.11;5309.5
552;8.09.23.44.01;5288.9
553;8.02.23.01.00;5283.01
554;8.09.76.70.07;5277.0
555;24.11.175.15.06;5230.84
556;8.09.04.129.01;5224.3099999999995
557;24.54.159.25.00;5207.04
558;8.25.01.41.06;5197.86
559;24.52.159.71.00;5197.629999999999
560;21.16.50.01.00;5187.51
561;8.04.04.05.07;5187.4
562;8.09.02.113.80;5186.85
563;24.52.66.52.00;5154.46
564;8.05.02.09.18;5145.31
565;24.10.159.321.00;5141.52
566;8.09.23.58.01;5127.299999999999
567;8.05.04.02.07;5122.3
568;24.11.159.76.00;5121.58
569;24.52.66.317.00;5108.57
570;8.07.04.32.01;5103.700000000001
571;24.11.175.87.57;5102.22
572;8.04.04.09.07;5079.71
573;24.10.159.300.00;5071.2
574;24.11.175.44.00;5062.719999999999
575;8.06.103.06.57;5041.73
576;21.14.50.1141.00;5036.14
577;8.07.03.12.58;5032.51
578;8.09.03.119.10;5024.6
579;24.50.66.413.00;5024.2300000000005
